Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-2,1,29,0.029443,0.305417,1.536171875,832039
1-1,1,27,0.000273,0.164935,1.554413208333333,317810
2-1,1,28,0.000176,0.266727,1.4396257395833334,514228
2-2,1,34,0.041741,2.468369,1.4601469895833334,9227464
3-2,1,27,0.016645,0.295304,1.3901002604166668,317810
3-1,1,34,0.000176,2.535724,1.413822385416667,9227464
4-1,1,27,0.000152,0.126661,1.463897479166667,317810
4-2,1,30,0.0419,0.414438,3.268833677083335,1346268
5-2,1,26,0.027657,0.126118,2.5889941458333334,196417
5-1,1,31,0.000253,0.693349,2.402002229166667,2178308
6-1,1,34,0.000222,7.721064,1.6403478541666663,9227464
6-2,1,35,0.034829,7.12862,1.7573197083333334,14930351
7-2,1,33,0.038182,3.923123,1.4291722604166663,5702886
7-1,1,32,0.000241,4.174831,1.616871479166667,3524577
8-2,1,28,0.026262,0.366088,1.6901518645833338,514228
8-1,1,27,0.000327,0.25336,1.6520257812499997,317810
9-1,1,29,0.000198,0.292605,1.5359477812500009,832039
9-2,1,25,0.025182,0.079916,1.5870101145833335,121392
10-2,1,28,0.0416,0.462106,1.477026479166666,514228
10-1,1,28,0.000195,0.376547,1.4999685833333332,514228
11-1,1,31,0.000191,0.685595,1.4422751041666664,2178308
11-2,1,26,0.036011,0.15889,1.5370876041666663,196417
12-2,1,29,0.039284,0.943706,1.5140645208333332,832039
12-1,1,29,0.000201,0.901182,1.4946665624999997,832039
13-2,1,25,0.032085,0.080814,1.5280121666666666,121392
13-1,1,32,0.000224,0.93405,1.5509879479166673,3524577
14-2,1,30,0.0318,1.102812,1.68929821875,1346268
14-1,1,29,0.000202,0.887273,1.6256278437500002,832039
15-2,1,28,0.039482,0.46336,1.51401853125,514228
15-1,1,34,0.000244,2.653215,1.3792603854166665,9227464
16-2,1,31,0.050499,2.977695,1.3257643125000003,2178308
16-1,1,34,0.000319,4.738989,1.4494117187500004,9227464
17-2,1,32,0.05063,4.974816,1.4001746979166667,3524577
17-1,1,35,0.000303,7.777158,1.4479398333333335,14930351
18-1,1,26,0.000372,0.117295,1.5062148333333332,196417
18-2,1,35,0.025331,3.681682,1.4425840416666669,14930351
19-1,1,32,0.000314,2.424641,1.5157929583333334,3524577
19-2,1,30,0.033485,1.804246,1.4502240520833332,1346268
20-2,1,26,0.03109,0.068259,1.5853643020833332,196417
20-1,1,25,0.000251,0.046125,1.5696363958333333,121392
21-1,1,26,0.000257,0.0743,1.3742396458333332,196417
