Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-2,1,31,0.029308,0.598776,1.415687822916667,2178308
1-1,1,26,0.000277,0.102426,1.3980859895833335,196417
2-2,1,26,0.041285,0.167686,1.5758922812499998,196417
2-1,1,33,0.000228,1.540739,1.5052384375,5702886
3-2,1,31,0.021793,0.626775,1.4035333437500002,2178308
3-1,1,26,0.000235,0.12343,1.543639885416667,196417
4-2,1,25,0.038088,0.096983,1.4812377916666666,121392
4-1,1,35,0.000228,3.667546,1.537228520833333,14930351
5-2,1,29,0.035996,0.209762,1.5679670833333328,832039
5-1,1,25,0.000201,0.035715,1.5784021562499992,121392
6-2,1,32,0.035795,2.256243,1.4750411458333337,3524577
6-1,1,30,0.000225,1.64967,1.542418020833333,1346268
7-1,1,33,0.000297,1.698492,1.553749927083333,5702886
7-2,1,27,0.035931,0.309402,1.5890679895833335,317810
8-1,1,26,0.000208,0.064189,1.5178710208333335,196417
8-2,1,35,0.048234,3.607889,1.556478125,14930351
9-2,1,32,0.0227,1.124917,1.3916677812500002,3524577
9-1,1,27,0.000293,0.280049,1.5427357916666666,317810
10-2,1,27,0.034828,0.211347,1.4560256875000002,317810
10-1,1,27,0.000244,0.17839,1.4898219791666663,317810
11-2,1,30,0.031663,1.793522,1.4878930729166668,1346268
11-1,1,33,0.000184,2.930136,1.569949145833334,5702886
12-2,1,30,0.026714,0.412665,1.5581301770833342,1346268
12-1,1,26,0.0003,0.110147,1.5020650729166667,196417
13-2,1,27,0.035856,0.088478,1.517672635416667,317810
13-1,1,25,0.000206,0.03559,1.5311473229166668,121392
14-2,1,28,0.018527,0.556652,1.5325276875,514228
14-1,1,35,0.000175,4.119503,1.5275752708333332,14930351
15-2,1,30,0.041816,0.635837,1.5208210624999998,1346268
15-1,1,31,0.00029,1.112361,1.5094131354166667,2178308
16-1,1,29,0.000161,0.776809,1.45566190625,832039
16-2,1,34,0.042223,2.902665,1.5238064895833334,9227464
17-2,1,26,0.025087,0.087583,1.4374162083333333,196417
17-1,1,29,0.000271,0.292004,1.5293718750000005,832039
18-2,1,29,0.036831,0.585666,1.4263279895833336,832039
18-1,1,28,0.000159,0.415795,1.4370641562500004,514228
19-2,1,30,0.022558,1.761886,1.4538457812499999,1346268
19-1,1,33,0.000199,2.895036,1.3500513958333333,5702886
20-2,1,29,0.031447,0.639305,1.45296571875,832039
20-1,1,28,0.000323,0.481855,1.61577934375,514228
21-1,1,31,0.0002,0.615765,1.50808853125,2178308
21-2,1,25,0.04777,0.108576,1.4689517812500001,121392
22-1,1,27,0.00017,0.119953,1.6573924479166668,317810
22-2,1,30,0.038754,0.365303,1.5557923645833331,1346268
23-1,1,30,0.000148,1.306113,1.4156941666666665,1346268
23-2,1,29,0.043662,1.122263,1.439691635416667,832039
24-2,1,31,0.018188,1.031554,1.5594715416666665,2178308
24-1,1,35,0.000212,4.27403,1.4117302708333337,14930351
25-1,1,30,0.000251,0.900409,1.4663815000000002,1346268
25-2,1,28,0.037572,0.615569,1.4737942083333329,514228
26-2,1,31,0.032829,1.235659,1.5888568125000002,2178308
26-1,1,29,0.000161,0.79677,1.5652178749999996,832039
27-2,1,31,0.049014,0.547592,1.6777031458333334,2178308
27-1,1,26,0.000216,0.064081,1.6133057500000005,196417
28-2,1,27,0.035919,0.07647,1.6598958958333332,317810
28-1,1,25,0.000162,0.034634,1.6340538645833338,121392
29-1,1,28,0.000178,0.40226,1.4799599895833333,514228
29-2,1,34,0.03419,2.588623,1.4538621875,9227464
30-2,1,32,0.02795,4.347585,1.4532017291666661,3524577
30-1,1,35,0.000289,7.277114,1.6193382812499997,14930351
31-2,1,25,0.029503,0.078258,1.5760268749999995,121392
31-1,1,26,0.000327,0.102849,1.5760268749999995,196417
32-2,1,32,0.035544,0.900681,1.645599145833333,3524577
32-1,1,26,0.000192,0.088359,1.5616660625000005,196417
33-1,1,33,0.000157,4.962542,1.4582255416666667,5702886
33-2,1,35,0.042527,7.755504,1.4751689895833335,14930351
34-1,1,30,0.000352,0.885408,1.4602141874999996,1346268
34-2,1,28,0.028316,0.585399,1.3569179583333337,514228
35-1,1,33,0.000194,3.559516,1.5428144999999998,5702886
35-2,1,31,0.022308,3.059338,1.4952669374999998,2178308
36-2,1,31,0.037877,0.79102,1.4647922499999997,2178308
36-1,1,28,0.000311,0.435256,1.5236907499999999,514228
37-1,1,32,0.000283,1.017879,1.5003465833333336,3524577
37-2,1,26,0.041061,0.168944,1.4009811041666664,196417
38-1,1,29,0.000189,0.866385,1.4695349062500003,832039
38-2,1,35,0.043432,4.339785,1.5003889687499998,14930351
39-1,1,29,0.000211,0.474339,1.5652847187499999,832039
39-2,1,27,0.029797,0.25857,1.533135854166667,317810
40-1,1,35,0.000163,18.770389,1.4717224791666668,14930351
40-2,1,35,0.033358,18.163527,1.4781043958333333,14930351
41-1,1,26,0.000301,0.060403,1.552199510416667,196417
41-2,1,35,0.043697,3.606304,1.4928059062499994,14930351
42-1,1,29,0.000255,0.904181,1.3464253958333339,832039
42-2,1,32,0.040981,1.632046,1.4194171354166667,3524577
43-1,1,26,0.000174,0.088705,1.3967421770833328,196417
43-2,1,26,0.034099,0.097297,1.3976974374999998,196417
44-1,1,26,0.000109,0.08536,1.4889387083333332,196417
44-2,1,34,0.029918,2.285576,1.527153833333333,9227464
45-1,1,32,0.000236,1.191134,1.4672042604166664,3524577
45-2,1,27,0.046088,0.33103,1.3790827916666666,317810
46-2,1,32,0.03503,2.448834,1.4533057708333332,3524577
46-1,1,31,0.000172,1.884417,1.375251395833333,2178308
47-1,1,29,0.000189,0.689888,1.4915631354166665,832039
47-2,1,33,0.03984,1.95385,1.4746736770833329,5702886
48-1,1,30,0.000132,0.885637,1.4166880729166669,1346268
48-2,1,34,0.027112,2.925887,1.4519905208333337,9227464
49-1,1,29,0.000198,0.412187,1.5074016249999997,832039
49-2,1,26,0.027078,0.200512,1.4176493020833332,196417
50-2,1,29,0.046042,0.304807,1.5050157604166667,832039
50-1,1,27,9.7e-05,0.129471,1.51668003125,317810
51-1,1,28,0.000118,0.610605,1.5197265520833334,514228
51-2,1,34,0.014245,2.768396,1.5913068854166665,9227464
