Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,0.8034,1.8693,16.2015,41.1
WithNew-1,1,1.1428,1.8369,16.2015,41.1
WithNew-2,1,1.5121,1.7089,26.1889,73.98
Existing-1,1,0.9052,1.7618,16.2015,41.1
WithNew-1,1,0.9139,1.6896,16.2015,41.1
WithNew-2,1,0.9988,1.7253,11.7294,106.86
Existing-1,1,1.3548,1.8364,35.3044,312.36
WithNew-2,1,2.5332,1.5407,57.8413,106.86
WithNew-1,1,2.8113,1.7146,35.3044,312.36
Existing-1,1,1.1478,1.8502,26.1889,73.98
WithNew-1,1,1.9617,1.7907,26.1889,73.98
WithNew-2,1,3.0029,1.712,60.5415,123.3
Existing-1,1,2.4406,1.6071,60.5415,123.3
WithNew-2,1,1.6381,1.7285,26.1889,73.98
WithNew-1,1,2.7986,1.6575,60.5415,123.3
Existing-1,1,1.2237,1.624,26.1889,73.98
WithNew-1,1,1.6125,1.8073,26.1889,73.98
WithNew-2,1,1.6102,1.8206,26.1889,73.98
Existing-1,1,2.2386,1.8189,62.6262,131.52
WithNew-1,1,2.9805,1.6589,62.6262,131.52
WithNew-2,1,3.2796,1.6426,62.6262,131.52
Existing-1,1,0.7455,1.7638,11.7294,106.86
WithNew-2,1,0.7671,1.9784,11.7294,106.86
WithNew-1,1,0.8534,1.8225,11.7294,106.86
Existing-1,1,2.3498,1.696,60.5415,123.3
WithNew-1,1,2.7459,1.7671,60.5415,123.3
WithNew-2,1,3.175,1.6189,62.6262,131.52
Existing-1,1,0.7907,1.7608,16.2015,41.1
WithNew-2,1,0.9886,1.8346,11.7294,106.86
WithNew-1,1,0.9994,1.8464,16.2015,41.1
