Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,1.4926,1.7016,35.3044,312.36
WithNew-1,1,1.7639,1.6378,35.3044,312.36
WithNew-2,1,1.9126,1.6136,35.3044,312.36
Existing-1,1,0.9789,1.6544,16.2015,41.1
WithNew-2,1,1.0341,1.7156,16.2015,41.1
WithNew-1,1,1.1905,1.672,16.2015,41.1
Existing-1,1,0.597,1.8796,6.8019,82.2
WithNew-2,1,0.714,1.8174,6.8019,82.2
WithNew-1,1,0.7959,1.8115,6.8019,82.2
Existing-1,1,0.8505,1.8491,16.2015,41.1
WithNew-1,1,1.0128,1.7334,16.2015,41.1
WithNew-2,1,1.2053,1.729,16.2015,41.1
Existing-1,1,0.8384,1.8443,11.7294,106.86
WithNew-1,1,0.8887,1.7729,11.7294,106.86
WithNew-2,1,0.9745,1.6316,11.7294,106.86
Existing-1,1,2.432,1.5988,62.6262,131.52
WithNew-1,1,3.3994,1.4584,62.6262,131.52
WithNew-2,1,3.425,1.551,62.6262,131.52
Existing-1,1,0.8546,1.8021,16.2015,41.1
WithNew-1,1,1.0391,1.7291,16.2015,41.1
WithNew-2,1,1.1745,1.7468,16.2015,41.1
Existing-1,1,2.3229,1.7344,57.8413,106.86
WithNew-2,1,3.2275,1.5198,57.8413,106.86
WithNew-1,1,3.2503,1.4869,57.8413,106.86
Existing-1,1,0.5755,1.7983,6.8019,82.2
WithNew-2,1,0.7179,1.8438,6.8019,82.2
WithNew-1,1,0.915,1.7338,6.8019,82.2
Existing-1,1,2.2916,1.6782,57.8413,106.86
WithNew-1,1,2.8842,1.6021,57.8413,106.86
WithNew-2,1,3.2684,1.5958,57.8413,106.86
Existing-1,1,2.4985,1.7059,60.5415,123.3
WithNew-2,1,3.2699,1.6375,60.5415,123.3
WithNew-1,1,3.2842,1.6205,60.5415,123.3
