Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,2.3252,1.6676,57.8413,106.86
WithNew-1,1,2.7032,1.6786,57.8413,106.86
WithNew-2,1,2.866,1.6604,61.4555,106.86
Existing-1,1,2.1029,1.7727,57.8413,106.86
WithNew-2,1,1.5195,1.6951,26.1889,73.98
WithNew-1,1,2.6056,1.6666,57.8413,106.86
Existing-1,1,0.5384,2.0458,6.8019,82.2
WithNew-1,1,0.6757,1.9224,6.8019,82.2
WithNew-2,1,1.5802,1.7541,35.3044,312.36
Existing-1,1,1.2819,1.6791,26.1889,73.98
WithNew-1,1,1.5774,1.7829,26.1889,73.98
WithNew-2,1,2.6077,1.8064,61.4555,106.86
Existing-1,1,2.1234,1.5084,57.8413,106.86
WithNew-2,1,0.93,1.811,11.7294,106.86
WithNew-1,1,2.3509,1.6552,57.8413,106.86
Existing-1,1,2.3126,1.6208,61.4555,106.86
WithNew-2,1,0.9122,1.8305,6.8019,82.2
WithNew-1,1,2.3987,1.597,61.4555,106.86
Existing-1,1,0.6351,1.9414,6.8019,82.2
WithNew-1,1,0.9112,1.9078,6.8019,82.2
WithNew-2,1,2.4381,1.5864,60.5415,123.3
Existing-1,1,0.6533,1.8631,11.7294,106.86
WithNew-1,1,0.988,1.8831,11.7294,106.86
WithNew-2,1,2.5594,1.5167,62.6262,131.52
Existing-1,1,0.6501,1.8998,11.7294,106.86
WithNew-1,1,0.7941,1.9391,11.7294,106.86
WithNew-2,1,0.9151,1.7357,11.7294,106.86
Existing-1,1,1.475,1.8017,35.3044,312.36
WithNew-2,1,1.5124,1.6545,26.1889,73.98
WithNew-1,1,1.8648,1.4995,35.3044,312.36
