Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,0.9183,1.7331,16.2015,41.1
WithNew-1,1,0.9627,1.7248,16.2015,41.1
WithNew-2,1,1.0048,1.7772,11.7294,106.86
Existing-1,1,0.8086,1.8417,16.2015,41.1
WithNew-1,1,0.9076,1.7569,16.2015,41.1
WithNew-2,1,1.6854,1.4476,35.3044,312.36
Existing-1,1,0.8708,1.839,16.2015,41.1
WithNew-1,1,1.4319,1.7864,16.2015,41.1
WithNew-2,1,2.7959,1.4476,60.5415,123.3
Existing-1,1,0.6454,2.0469,6.8019,82.2
WithNew-1,1,0.7614,1.7558,6.8019,82.2
WithNew-2,1,0.7745,1.8169,11.7294,106.86
Existing-1,1,0.5354,1.9618,6.8019,82.2
WithNew-1,1,0.7655,1.8813,6.8019,82.2
WithNew-2,1,2.4511,1.4687,62.6262,131.52
Existing-1,1,2.3418,1.5478,60.5415,123.3
WithNew-2,1,2.3299,1.7008,35.3044,312.36
WithNew-1,1,2.4904,1.458,60.5415,123.3
Existing-1,1,2.159,1.6336,57.8413,106.86
WithNew-2,1,1.203,1.8164,16.2015,41.1
WithNew-1,1,2.3154,1.4084,57.8413,106.86
Existing-1,1,2.1186,1.7032,61.4555,106.86
WithNew-2,1,1.5172,1.7018,26.1889,73.98
WithNew-1,1,2.6079,1.4403,61.4555,106.86
Existing-1,1,1.1235,1.6387,26.1889,73.98
WithNew-1,1,1.6179,1.7084,26.1889,73.98
WithNew-2,1,2.5881,1.4697,57.8413,106.86
Existing-1,1,0.6259,2.043,6.8019,82.2
WithNew-1,1,0.7066,1.8983,6.8019,82.2
WithNew-2,1,2.4779,1.5527,61.4555,106.86
