Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,1.124,1.7553,26.1889,73.98
WithNew-2,1,1.1593,1.8536,16.2015,41.1
WithNew-1,1,1.3578,1.7224,26.1889,73.98
Existing-1,1,0.8146,1.9091,16.2015,41.1
WithNew-1,1,1.0549,1.7045,16.2015,41.1
WithNew-2,1,1.4506,1.5521,26.1889,73.98
Existing-1,1,1.235,1.7295,26.1889,73.98
WithNew-1,1,1.7853,1.6779,26.1889,73.98
WithNew-2,1,2.7473,1.5046,60.5415,123.3
Existing-1,1,0.7941,1.8116,16.2015,41.1
WithNew-1,1,1.3297,1.7334,16.2015,41.1
WithNew-2,1,2.5961,1.672,60.5415,123.3
Existing-1,1,1.1376,1.8518,26.1889,73.98
WithNew-1,1,1.5379,1.7803,26.1889,73.98
WithNew-2,1,2.7295,1.5939,60.5415,123.3
Existing-1,1,2.3665,1.7828,57.8413,106.86
WithNew-1,1,2.8507,1.572,57.8413,106.86
WithNew-2,1,3.0288,1.7226,61.4555,106.86
Existing-1,1,0.5364,1.9106,6.8019,82.2
WithNew-1,1,0.8948,1.8332,6.8019,82.2
WithNew-2,1,0.9182,1.8659,11.7294,106.86
Existing-1,1,0.8176,1.9265,16.2015,41.1
WithNew-2,1,0.7767,1.6686,6.8019,82.2
WithNew-1,1,0.9438,1.6431,16.2015,41.1
Existing-1,1,0.749,2.0103,11.7294,106.86
WithNew-1,1,0.8423,1.7835,11.7294,106.86
WithNew-2,1,0.8914,1.7127,11.7294,106.86
Existing-1,1,0.8136,1.7954,16.2015,41.1
WithNew-2,1,0.8208,1.9658,6.8019,82.2
WithNew-1,1,0.9827,1.8271,16.2015,41.1
