Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,0.6531,1.914,11.7294,106.86
WithNew-1,1,0.869,2.1158,11.7294,106.86
WithNew-2,1,0.9186,1.9165,6.8019,82.2
Existing-1,1,0.8865,1.8665,16.2015,41.1
WithNew-1,1,0.9325,1.868,16.2015,41.1
WithNew-2,1,1.0866,1.7115,16.2015,41.1
Existing-1,1,0.6466,2.0144,11.7294,106.86
WithNew-1,1,0.9,1.7996,11.7294,106.86
WithNew-2,1,1.7409,1.5779,35.3044,312.36
Existing-1,1,0.5401,2.0384,6.8019,82.2
WithNew-1,1,0.6783,1.9678,6.8019,82.2
WithNew-2,1,1.3396,1.6429,26.1889,73.98
Existing-1,1,0.7416,1.9572,11.7294,106.86
WithNew-1,1,0.9694,1.7787,11.7294,106.86
WithNew-2,1,2.2467,1.4797,57.8413,106.86
Existing-1,1,0.8076,1.8542,16.2015,41.1
WithNew-1,1,1.1208,1.5541,16.2015,41.1
WithNew-2,1,2.5533,1.4751,62.6262,131.52
Existing-1,1,2.173,1.5428,62.6262,131.52
WithNew-2,1,1.167,1.7333,11.7294,106.86
WithNew-1,1,2.7019,1.461,62.6262,131.52
Existing-1,1,2.3225,1.737,60.5415,123.3
WithNew-2,1,1.6969,1.716,26.1889,73.98
WithNew-1,1,2.8087,1.7126,60.5415,123.3
Existing-1,1,2.1484,1.5866,61.4555,106.86
WithNew-2,1,0.9819,1.6438,6.8019,82.2
WithNew-1,1,2.4489,1.556,61.4555,106.86
Existing-1,1,0.7927,1.7198,16.2015,41.1
WithNew-1,1,1.121,1.5504,16.2015,41.1
WithNew-2,1,2.6043,1.5119,60.5415,123.3
