Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,1.9269,1.7234,57.8413,106.86
WithNew-2,1,1.5702,1.6606,26.1889,73.98
WithNew-1,1,2.5016,1.4712,57.8413,106.86
Existing-1,1,0.7431,2.0457,11.7294,106.86
WithNew-1,1,0.7595,1.9865,11.7294,106.86
WithNew-2,1,0.8457,1.8491,11.7294,106.86
Existing-1,1,0.6502,1.889,11.7294,106.86
WithNew-1,1,0.8934,1.7655,11.7294,106.86
WithNew-2,1,2.3257,1.5575,60.5415,123.3
Existing-1,1,2.1492,1.6327,62.6262,131.52
WithNew-2,1,2.0741,1.5725,35.3044,312.36
WithNew-1,1,2.3546,1.4736,62.6262,131.52
Existing-1,1,0.6694,1.9699,6.8019,82.2
WithNew-1,1,0.6791,1.8946,6.8019,82.2
WithNew-2,1,1.3682,1.5083,26.1889,73.98
Existing-1,1,0.7876,1.8399,16.2015,41.1
WithNew-1,1,1.028,1.7755,16.2015,41.1
WithNew-2,1,2.6055,1.5034,62.6262,131.52
Existing-1,1,2.2427,1.7321,57.8413,106.86
WithNew-1,1,2.6779,1.7531,57.8413,106.86
WithNew-2,1,2.9719,1.3805,60.5415,123.3
Existing-1,1,2.2573,1.6615,62.6262,131.52
WithNew-2,1,1.9987,1.7035,35.3044,312.36
WithNew-1,1,2.4031,1.4351,62.6262,131.52
Existing-1,1,2.0949,1.6481,61.4555,106.86
WithNew-1,1,2.9075,1.7083,61.4555,106.86
WithNew-2,1,3.2564,1.419,62.6262,131.52
Existing-1,1,2.1999,1.6958,62.6262,131.52
WithNew-1,1,3.0136,1.6473,62.6262,131.52
WithNew-2,1,3.3434,1.6831,62.6262,131.52
