Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,6.4418,1.6728,26.1889,73.98
WithNew-2,1,1.422,1.7039,26.1889,73.98
WithNew-1,1,1.6569,1.6757,26.1889,73.98
Existing-1,1,0.8859,1.6511,16.2015,41.1
WithNew-2,1,1.0662,1.7302,16.2015,41.1
WithNew-1,1,1.1947,1.6795,16.2015,41.1
Existing-1,1,2.3567,1.4451,61.4555,106.86
WithNew-1,1,3.2551,1.6452,61.4555,106.86
WithNew-2,1,3.2697,1.6175,61.4555,106.86
Existing-1,1,0.9024,1.5728,16.2015,41.1
WithNew-1,1,0.9435,1.7898,16.2015,41.1
WithNew-2,1,1.1233,1.8409,16.2015,41.1
Existing-1,1,2.2112,1.5378,57.8413,106.86
WithNew-1,1,2.9307,1.5502,57.8413,106.86
WithNew-2,1,2.9441,1.5844,57.8413,106.86
Existing-1,1,1.3817,1.5177,35.3044,312.36
WithNew-1,1,1.6491,1.6854,35.3044,312.36
WithNew-2,1,1.8638,1.5561,35.3044,312.36
Existing-1,1,1.5825,1.5417,35.3044,312.36
WithNew-1,1,1.7799,1.4961,35.3044,312.36
WithNew-2,1,1.8107,1.548,35.3044,312.36
Existing-1,1,0.5546,1.6881,6.8019,82.2
WithNew-2,1,0.6745,1.9097,6.8019,82.2
WithNew-1,1,0.7772,1.8253,6.8019,82.2
Existing-1,1,0.5485,1.5909,6.8019,82.2
WithNew-1,1,0.6331,1.7639,6.8019,82.2
WithNew-2,1,0.7432,1.6708,6.8019,82.2
Existing-1,1,0.9017,1.8374,16.2015,41.1
WithNew-1,1,1.0016,1.7462,16.2015,41.1
WithNew-2,1,1.1788,1.6492,16.2015,41.1
Existing-1,1,1.4003,1.4029,35.3044,312.36
WithNew-1,1,1.9505,1.4289,35.3044,312.36
WithNew-2,1,1.9713,1.3718,35.3044,312.36
