Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,2.339,1.3761,57.8413,106.86
WithNew-2,1,2.3235,1.6649,35.3044,312.36
WithNew-1,1,2.4237,1.6644,57.8413,106.86
Existing-1,1,0.5362,1.934,6.8019,82.2
WithNew-1,1,0.6595,1.8418,6.8019,82.2
WithNew-2,1,0.7377,1.7593,6.8019,82.2
Existing-1,1,0.8145,1.8312,16.2015,41.1
WithNew-1,1,0.9232,1.826,16.2015,41.1
WithNew-2,1,1.0146,1.737,11.7294,106.86
Existing-1,1,2.4092,1.6188,61.4555,106.86
WithNew-1,1,2.9219,1.7628,61.4555,106.86
WithNew-2,1,2.9247,1.7629,61.4555,106.86
Existing-1,1,2.0653,1.6777,57.8413,106.86
WithNew-2,1,2.7602,1.6823,61.4555,106.86
WithNew-1,1,2.9494,1.7256,57.8413,106.86
Existing-1,1,0.5466,1.9668,6.8019,82.2
WithNew-1,1,0.7911,1.974,6.8019,82.2
WithNew-2,1,1.5196,1.7651,35.3044,312.36
Existing-1,1,0.6442,1.8792,6.8019,82.2
WithNew-1,1,0.7593,1.8757,6.8019,82.2
WithNew-2,1,0.8716,1.6922,16.2015,41.1
Existing-1,1,2.1986,1.422,62.6262,131.52
WithNew-2,1,2.0931,1.6564,35.3044,312.36
WithNew-1,1,2.3707,1.567,62.6262,131.52
Existing-1,1,0.8629,1.7217,16.2015,41.1
WithNew-1,1,1.1037,1.748,16.2015,41.1
WithNew-2,1,2.4851,1.5046,61.4555,106.86
Existing-1,1,2.4325,1.4132,60.5415,123.3
WithNew-1,1,2.9657,1.7113,60.5415,123.3
WithNew-2,1,2.9684,1.7055,61.4555,106.86
