Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,1.3775,1.6904,35.3044,312.36
WithNew-1,1,2.0575,1.6078,35.3044,312.36
WithNew-2,1,2.3569,1.4629,57.8413,106.86
Existing-1,1,0.8131,1.757,16.2015,41.1
WithNew-1,1,1.092,1.7712,16.2015,41.1
WithNew-2,1,2.5201,1.6167,60.5415,123.3
Existing-1,1,0.6292,1.9739,6.8019,82.2
WithNew-1,1,0.7366,1.7266,6.8019,82.2
WithNew-2,1,2.3485,1.5664,61.4555,106.86
Existing-1,1,2.3753,1.6601,62.6262,131.52
WithNew-2,1,2.0774,1.5523,35.3044,312.36
WithNew-1,1,2.6032,1.5396,62.6262,131.52
Existing-1,1,1.1915,1.6261,26.1889,73.98
WithNew-1,1,1.5176,1.8295,26.1889,73.98
WithNew-2,1,2.8346,1.6283,57.8413,106.86
Existing-1,1,2.2475,1.7105,61.4555,106.86
WithNew-2,1,3.0943,1.7408,62.6262,131.52
WithNew-1,1,3.1038,1.7313,61.4555,106.86
Existing-1,1,0.5416,2.0812,6.8019,82.2
WithNew-1,1,0.6944,1.8696,6.8019,82.2
WithNew-2,1,2.329,1.5901,60.5415,123.3
Existing-1,1,0.6538,1.8734,11.7294,106.86
WithNew-1,1,1.1069,1.7981,11.7294,106.86
WithNew-2,1,2.2027,1.7333,57.8413,106.86
Existing-1,1,1.4848,1.7425,35.3044,312.36
WithNew-2,1,1.2037,1.9024,16.2015,41.1
WithNew-1,1,1.7146,1.7606,35.3044,312.36
Existing-1,1,1.3571,1.8432,35.3044,312.36
WithNew-1,1,1.8941,1.7156,35.3044,312.36
WithNew-2,1,2.381,1.5549,61.4555,106.86
