Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,0.5717,1.9705,6.8019,82.2
WithNew-1,1,0.6504,1.8389,6.8019,82.2
WithNew-2,1,0.7195,1.7828,6.8019,82.2
Existing-1,1,2.3156,1.5817,61.4555,106.86
WithNew-1,1,3.0252,1.3734,61.4555,106.86
WithNew-2,1,3.0477,1.3933,57.8413,106.86
Existing-1,1,0.8821,1.9209,16.2015,41.1
WithNew-1,1,1.3092,1.6517,16.2015,41.1
WithNew-2,1,2.5872,1.4183,57.8413,106.86
Existing-1,1,0.7027,1.5074,11.7294,106.86
WithNew-2,1,0.6542,1.8593,6.8019,82.2
WithNew-1,1,0.9065,1.7769,11.7294,106.86
Existing-1,1,0.7871,1.828,16.2015,41.1
WithNew-2,1,0.7341,1.6782,6.8019,82.2
WithNew-1,1,0.9773,1.5442,16.2015,41.1
Existing-1,1,2.128,1.7562,57.8413,106.86
WithNew-1,1,2.7916,1.6059,57.8413,106.86
WithNew-2,1,3.1002,1.5863,62.6262,131.52
Existing-1,1,0.7688,1.7893,16.2015,41.1
WithNew-1,1,1.0224,1.7909,16.2015,41.1
WithNew-2,1,2.7971,1.5013,62.6262,131.52
Existing-1,1,2.2729,1.4862,60.5415,123.3
WithNew-2,1,1.554,1.7942,26.1889,73.98
WithNew-1,1,2.6689,1.631,60.5415,123.3
Existing-1,1,1.302,1.6837,26.1889,73.98
WithNew-2,1,1.0755,1.7313,11.7294,106.86
WithNew-1,1,1.381,1.5363,26.1889,73.98
Existing-1,1,2.1271,1.5125,61.4555,106.86
WithNew-2,1,1.0579,1.6505,16.2015,41.1
WithNew-1,1,2.4257,1.557,61.4555,106.86
