Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,0.9018,1.6207,16.2015,41.1
WithNew-1,1,1.0829,1.7492,16.2015,41.1
WithNew-2,1,2.4884,1.5848,60.5415,123.3
Existing-1,1,1.1499,1.8418,26.1889,73.98
WithNew-1,1,1.5262,1.7769,26.1889,73.98
WithNew-2,1,2.6223,1.7277,57.8413,106.86
Existing-1,1,2.2398,1.6987,57.8413,106.86
WithNew-2,1,1.0096,1.624,11.7294,106.86
WithNew-1,1,2.4503,1.5508,57.8413,106.86
Existing-1,1,2.2395,1.6251,61.4555,106.86
WithNew-2,1,1.5733,1.7454,26.1889,73.98
WithNew-1,1,2.5924,1.5927,61.4555,106.86
Existing-1,1,0.7945,1.9727,16.2015,41.1
WithNew-1,1,1.0556,1.7512,16.2015,41.1
WithNew-2,1,2.6267,1.7047,60.5415,123.3
Existing-1,1,2.2666,1.6601,57.8413,106.86
WithNew-2,1,2.9714,1.6406,60.5415,123.3
WithNew-1,1,2.9784,1.6656,57.8413,106.86
Existing-1,1,2.4181,1.7058,60.5415,123.3
WithNew-2,1,0.9726,1.7638,6.8019,82.2
WithNew-1,1,2.4228,1.5968,60.5415,123.3
Existing-1,1,0.6425,2.0008,11.7294,106.86
WithNew-1,1,0.9422,1.7373,11.7294,106.86
WithNew-2,1,2.3342,1.6136,60.5415,123.3
Existing-1,1,0.5382,1.9818,6.8019,82.2
WithNew-1,1,0.8007,1.8543,6.8019,82.2
WithNew-2,1,0.9599,1.7526,16.2015,41.1
Existing-1,1,2.3898,1.5932,61.4555,106.86
WithNew-1,1,3.0115,1.703,61.4555,106.86
WithNew-2,1,3.0257,1.7047,60.5415,123.3
