Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,2.4276,1.759,62.6262,131.52
WithNew-1,1,2.9581,1.7212,62.6262,131.52
WithNew-2,1,2.9701,1.7086,57.8413,106.86
Existing-1,1,0.7429,2.0375,11.7294,106.86
WithNew-1,1,0.9641,1.7773,11.7294,106.86
WithNew-2,1,2.5616,1.4935,62.6262,131.52
Existing-1,1,1.559,1.8013,35.3044,312.36
WithNew-2,1,1.5355,1.716,26.1889,73.98
WithNew-1,1,1.9183,1.5311,35.3044,312.36
Existing-1,1,2.1039,1.7556,57.8413,106.86
WithNew-1,1,2.9221,1.5498,57.8413,106.86
WithNew-2,1,3.2572,1.6036,62.6262,131.52
Existing-1,1,0.7495,1.9862,11.7294,106.86
WithNew-2,1,0.7649,1.9384,6.8019,82.2
WithNew-1,1,0.7928,1.7666,11.7294,106.86
Existing-1,1,0.6497,1.9761,11.7294,106.86
WithNew-2,1,0.7519,1.9944,6.8019,82.2
WithNew-1,1,0.7626,1.9694,11.7294,106.86
Existing-1,1,1.2869,1.7503,26.1889,73.98
WithNew-2,1,1.1758,1.6976,16.2015,41.1
WithNew-1,1,1.4121,1.6134,26.1889,73.98
Existing-1,1,0.8774,1.8488,16.2015,41.1
WithNew-1,1,1.044,1.8693,16.2015,41.1
WithNew-2,1,1.7771,1.6917,35.3044,312.36
Existing-1,1,0.8162,1.7591,16.2015,41.1
WithNew-1,1,0.9806,1.7203,16.2015,41.1
WithNew-2,1,1.7208,1.6186,35.3044,312.36
Existing-1,1,0.5376,1.9515,6.8019,82.2
WithNew-1,1,0.9907,1.8722,6.8019,82.2
WithNew-2,1,2.3967,1.5389,57.8413,106.86
