Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,2.2502,1.5175,62.6262,131.52
WithNew-2,1,3.0644,1.4575,62.6262,131.52
WithNew-1,1,3.0849,1.4647,62.6262,131.52
Existing-1,1,1.414,1.4744,26.1889,73.98
WithNew-1,1,1.4722,1.672,26.1889,73.98
WithNew-2,1,1.6083,1.5906,26.1889,73.98
Existing-1,1,1.2013,1.6257,26.1889,73.98
WithNew-2,1,1.4493,1.5374,26.1889,73.98
WithNew-1,1,1.5905,1.5579,26.1889,73.98
Existing-1,1,2.2989,1.6062,61.4555,106.86
WithNew-1,1,2.8987,1.6219,61.4555,106.86
WithNew-2,1,3.2399,1.5555,61.4555,106.86
Existing-1,1,0.7622,1.6735,11.7294,106.86
WithNew-2,1,0.9429,1.7428,11.7294,106.86
WithNew-1,1,0.985,1.6014,11.7294,106.86
Existing-1,1,2.3293,1.4898,60.5415,123.3
WithNew-1,1,3.0896,1.7262,60.5415,123.3
WithNew-2,1,3.455,1.7193,60.5415,123.3
Existing-1,1,2.3568,1.4673,62.6262,131.52
WithNew-1,1,3.2644,1.5562,62.6262,131.52
WithNew-2,1,3.2768,1.6813,62.6262,131.52
Existing-1,1,2.5216,1.3986,61.4555,106.86
WithNew-1,1,3.1662,1.5383,61.4555,106.86
WithNew-2,1,3.1892,1.5376,61.4555,106.86
Existing-1,1,0.5946,1.8576,6.8019,82.2
WithNew-1,1,0.765,1.8727,6.8019,82.2
WithNew-2,1,0.8732,1.7701,6.8019,82.2
Existing-1,1,2.3726,1.5279,61.4555,106.86
WithNew-1,1,2.9915,1.652,61.4555,106.86
WithNew-2,1,3.3073,1.5344,61.4555,106.86
Existing-1,1,2.4943,1.6574,60.5415,123.3
WithNew-2,1,3.2544,1.5423,60.5415,123.3
WithNew-1,1,3.2671,1.5937,60.5415,123.3
