Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,0.5492,1.9459,6.8019,82.2
WithNew-1,1,0.7298,1.9952,6.8019,82.2
WithNew-2,1,0.7789,1.8937,11.7294,106.86
Existing-1,1,1.3233,1.755,26.1889,73.98
WithNew-1,1,1.4781,1.889,26.1889,73.98
WithNew-2,1,1.5651,1.7496,26.1889,73.98
Existing-1,1,2.3862,1.7233,62.6262,131.52
WithNew-2,1,2.7797,1.6576,60.5415,123.3
WithNew-1,1,3.071,1.3976,62.6262,131.52
Existing-1,1,2.4796,1.5831,62.6262,131.52
WithNew-1,1,2.9646,1.6826,62.6262,131.52
WithNew-2,1,2.9862,1.6957,62.6262,131.52
Existing-1,1,2.4153,1.6044,60.5415,123.3
WithNew-2,1,2.9434,1.7521,57.8413,106.86
WithNew-1,1,2.948,1.7489,60.5415,123.3
Existing-1,1,2.1549,1.6415,61.4555,106.86
WithNew-1,1,2.3845,1.5679,61.4555,106.86
WithNew-2,1,2.4574,1.5942,35.3044,312.36
Existing-1,1,2.2644,1.6899,57.8413,106.86
WithNew-2,1,1.5948,1.7485,26.1889,73.98
WithNew-1,1,2.5663,1.485,57.8413,106.86
Existing-1,1,0.7767,1.8885,11.7294,106.86
WithNew-1,1,0.9084,1.7334,11.7294,106.86
WithNew-2,1,2.3062,1.4939,60.5415,123.3
Existing-1,1,1.1152,1.8203,26.1889,73.98
WithNew-2,1,1.1329,1.9072,16.2015,41.1
WithNew-1,1,1.5448,1.4798,26.1889,73.98
Existing-1,1,0.6482,1.9244,11.7294,106.86
WithNew-1,1,1.3362,1.8989,11.7294,106.86
WithNew-2,1,2.5125,1.6664,62.6262,131.52
