Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,2.0825,1.7211,57.8413,106.86
WithNew-2,1,0.8648,1.84,6.8019,82.2
WithNew-1,1,2.1715,1.7865,57.8413,106.86
Existing-1,1,2.416,1.8685,61.4555,106.86
WithNew-2,1,2.7435,1.635,57.8413,106.86
WithNew-1,1,2.9177,1.7017,61.4555,106.86
Existing-1,1,0.7875,2.0601,16.2015,41.1
WithNew-2,1,0.8043,1.9219,11.7294,106.86
WithNew-1,1,0.9821,1.7801,16.2015,41.1
Existing-1,1,0.6452,1.9176,11.7294,106.86
WithNew-1,1,0.8935,1.983,11.7294,106.86
WithNew-2,1,1.3144,1.6952,26.1889,73.98
Existing-1,1,0.7317,1.9346,11.7294,106.86
WithNew-2,1,0.7841,1.9209,11.7294,106.86
WithNew-1,1,0.8607,1.853,11.7294,106.86
Existing-1,1,0.6407,1.9143,11.7294,106.86
WithNew-1,1,0.9363,1.9836,11.7294,106.86
WithNew-2,1,2.3403,1.6908,61.4555,106.86
Existing-1,1,2.1101,1.9502,57.8413,106.86
WithNew-2,1,1.1443,1.8157,6.8019,82.2
WithNew-1,1,2.2331,1.637,57.8413,106.86
Existing-1,1,2.2514,1.7001,60.5415,123.3
WithNew-2,1,1.038,1.8605,16.2015,41.1
WithNew-1,1,2.4742,1.7072,60.5415,123.3
Existing-1,1,2.2185,1.6262,62.6262,131.52
WithNew-2,1,0.9227,1.8431,11.7294,106.86
WithNew-1,1,2.4002,1.6885,62.6262,131.52
Existing-1,1,0.6492,1.9391,11.7294,106.86
WithNew-1,1,0.7691,1.7988,11.7294,106.86
WithNew-2,1,0.8419,1.7344,11.7294,106.86
