Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,2.456,1.6173,61.4555,106.86
WithNew-2,1,3.0501,1.6616,60.5415,123.3
WithNew-1,1,3.0555,1.6758,61.4555,106.86
Existing-1,1,2.2117,1.6782,62.6262,131.52
WithNew-2,1,2.1438,1.8474,35.3044,312.36
WithNew-1,1,2.5505,1.7165,62.6262,131.52
Existing-1,1,0.5731,1.6523,6.8019,82.2
WithNew-1,1,0.6456,1.9448,6.8019,82.2
WithNew-2,1,1.5293,1.7279,35.3044,312.36
Existing-1,1,0.8825,1.9915,16.2015,41.1
WithNew-1,1,1.0564,1.8724,16.2015,41.1
WithNew-2,1,2.6789,1.6189,61.4555,106.86
Existing-1,1,2.0856,1.5979,57.8413,106.86
WithNew-1,1,3.0978,1.6146,57.8413,106.86
WithNew-2,1,3.1041,1.6135,62.6262,131.52
Existing-1,1,2.3669,1.665,60.5415,123.3
WithNew-2,1,1.602,1.7464,26.1889,73.98
WithNew-1,1,2.665,1.656,60.5415,123.3
Existing-1,1,0.6383,1.6063,6.8019,82.2
WithNew-1,1,0.7171,2.0046,6.8019,82.2
WithNew-2,1,1.0724,1.6376,16.2015,41.1
Existing-1,1,1.1465,1.7091,26.1889,73.98
WithNew-1,1,1.6257,1.6076,26.1889,73.98
WithNew-2,1,2.8083,1.5458,62.6262,131.52
Existing-1,1,2.0996,1.7018,57.8413,106.86
WithNew-2,1,2.2322,1.6612,35.3044,312.36
WithNew-1,1,2.3432,1.7097,57.8413,106.86
Existing-1,1,0.8855,1.9303,16.2015,41.1
WithNew-1,1,1.0064,1.801,16.2015,41.1
WithNew-2,1,1.518,1.7678,26.1889,73.98
