Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,0.7101,1.6753,11.7294,106.86
WithNew-1,1,1.0562,1.8201,11.7294,106.86
WithNew-2,1,2.5224,1.4007,57.8413,106.86
Existing-1,1,2.1514,1.4591,61.4555,106.86
WithNew-2,1,2.2165,1.645,35.3044,312.36
WithNew-1,1,2.4763,1.4292,61.4555,106.86
Existing-1,1,2.3151,1.6634,57.8413,106.86
WithNew-2,1,0.991,1.7723,11.7294,106.86
WithNew-1,1,2.459,1.761,57.8413,106.86
Existing-1,1,0.6388,1.9774,11.7294,106.86
WithNew-1,1,1.0989,1.8229,11.7294,106.86
WithNew-2,1,2.7241,1.7052,62.6262,131.52
Existing-1,1,2.1383,1.6177,60.5415,123.3
WithNew-2,1,2.9274,1.4917,57.8413,106.86
WithNew-1,1,2.9492,1.4587,60.5415,123.3
Existing-1,1,0.889,1.7942,16.2015,41.1
WithNew-2,1,1.5024,1.3313,26.1889,73.98
WithNew-1,1,1.5114,1.3765,16.2015,41.1
Existing-1,1,0.5458,1.4417,6.8019,82.2
WithNew-1,1,0.7734,1.8243,6.8019,82.2
WithNew-2,1,2.5715,1.4131,61.4555,106.86
Existing-1,1,2.1616,1.4491,61.4555,106.86
WithNew-2,1,3.1452,1.7433,60.5415,123.3
WithNew-1,1,3.1498,1.7423,61.4555,106.86
Existing-1,1,1.5298,1.7264,35.3044,312.36
WithNew-2,1,0.8767,1.9385,11.7294,106.86
WithNew-1,1,1.4825,1.7217,35.3044,312.36
Existing-1,1,2.3121,1.7301,60.5415,123.3
WithNew-1,1,2.5182,1.4913,60.5415,123.3
WithNew-2,1,2.5579,1.5043,35.3044,312.36
