Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,2.3156,1.695,61.4555,106.86
WithNew-2,1,1.6747,1.8163,26.1889,73.98
WithNew-1,1,2.5877,1.3543,61.4555,106.86
Existing-1,1,0.5325,1.9454,6.8019,82.2
WithNew-1,1,0.6416,1.9439,6.8019,82.2
WithNew-2,1,2.3633,1.4224,61.4555,106.86
Existing-1,1,2.1344,1.6638,57.8413,106.86
WithNew-1,1,2.7539,1.4129,57.8413,106.86
WithNew-2,1,2.9288,1.347,61.4555,106.86
Existing-1,1,1.9814,1.675,60.5415,123.3
WithNew-2,1,2.2091,1.446,35.3044,312.36
WithNew-1,1,2.3945,1.3458,60.5415,123.3
Existing-1,1,1.2344,1.7132,26.1889,73.98
WithNew-1,1,1.5193,1.6902,26.1889,73.98
WithNew-2,1,2.6071,1.6289,61.4555,106.86
Existing-1,1,2.5328,1.6936,62.6262,131.52
WithNew-2,1,1.1778,1.8215,11.7294,106.86
WithNew-1,1,2.5202,1.4861,62.6262,131.52
Existing-1,1,0.6441,1.9968,11.7294,106.86
WithNew-1,1,0.9722,1.6774,11.7294,106.86
WithNew-2,1,2.4734,1.5072,61.4555,106.86
Existing-1,1,1.2184,1.7197,26.1889,73.98
WithNew-1,1,1.3263,1.6531,26.1889,73.98
WithNew-2,1,2.1135,1.476,35.3044,312.36
Existing-1,1,0.783,1.8497,11.7294,106.86
WithNew-1,1,0.9449,1.8204,11.7294,106.86
WithNew-2,1,2.6572,1.5046,62.6262,131.52
Existing-1,1,1.1974,1.878,26.1889,73.98
WithNew-1,1,1.5915,1.796,26.1889,73.98
WithNew-2,1,2.5544,1.7736,60.5415,123.3
