Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,2.2886,1.8362,57.8413,106.86
WithNew-1,1,2.601,1.605,57.8413,106.86
WithNew-2,1,2.807,1.674,35.3044,312.36
Existing-1,1,2.2661,1.7292,60.5415,123.3
WithNew-2,1,2.5931,1.7526,57.8413,106.86
WithNew-1,1,3.3444,1.6415,60.5415,123.3
Existing-1,1,2.206,1.7594,62.6262,131.52
WithNew-2,1,2.476,1.7411,35.3044,312.36
WithNew-1,1,2.6649,1.7916,62.6262,131.52
Existing-1,1,1.3604,1.9,35.3044,312.36
WithNew-1,1,2.173,1.7361,35.3044,312.36
WithNew-2,1,2.4327,1.5864,60.5415,123.3
Existing-1,1,0.7464,2.0572,11.7294,106.86
WithNew-1,1,0.8268,2.0411,11.7294,106.86
WithNew-2,1,2.5584,1.673,60.5415,123.3
Existing-1,1,1.2095,1.6636,26.1889,73.98
WithNew-1,1,1.6713,1.6066,26.1889,73.98
WithNew-2,1,1.6723,1.5701,26.1889,73.98
Existing-1,1,2.1029,1.6058,57.8413,106.86
WithNew-1,1,2.433,1.5256,57.8413,106.86
WithNew-2,1,2.6054,1.5784,35.3044,312.36
Existing-1,1,2.4217,1.7661,61.4555,106.86
WithNew-2,1,1.634,1.6887,26.1889,73.98
WithNew-1,1,2.7335,1.7105,61.4555,106.86
Existing-1,1,2.2237,1.774,57.8413,106.86
WithNew-2,1,1.0119,1.8594,11.7294,106.86
WithNew-1,1,2.4075,1.6392,57.8413,106.86
Existing-1,1,1.3628,1.7177,35.3044,312.36
WithNew-2,1,1.1117,1.8944,16.2015,41.1
WithNew-1,1,1.7112,1.7708,35.3044,312.36
