Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,0.8103,1.7361,16.2015,41.1
WithNew-1,1,1.0012,1.6887,16.2015,41.1
WithNew-2,1,2.4666,1.6553,62.6262,131.52
Existing-1,1,2.4406,1.4948,62.6262,131.52
WithNew-2,1,1.1344,1.7403,11.7294,106.86
WithNew-1,1,2.4661,1.6073,62.6262,131.52
Existing-1,1,0.6457,1.7146,11.7294,106.86
WithNew-1,1,1.0652,1.7521,11.7294,106.86
WithNew-2,1,2.5068,1.5804,61.4555,106.86
Existing-1,1,0.5398,2.0028,6.8019,82.2
WithNew-1,1,0.6986,1.7897,6.8019,82.2
WithNew-2,1,0.8223,1.7207,6.8019,82.2
Existing-1,1,2.2957,1.7899,62.6262,131.52
WithNew-2,1,2.1551,1.5761,35.3044,312.36
WithNew-1,1,2.4336,1.7186,62.6262,131.52
Existing-1,1,0.6421,1.9301,11.7294,106.86
WithNew-1,1,0.8475,1.8935,11.7294,106.86
WithNew-2,1,0.8869,1.9243,11.7294,106.86
Existing-1,1,0.6423,1.8251,11.7294,106.86
WithNew-1,1,0.9567,1.6085,11.7294,106.86
WithNew-2,1,1.3582,1.5665,26.1889,73.98
Existing-1,1,0.8826,1.7719,16.2015,41.1
WithNew-1,1,1.0539,1.8687,16.2015,41.1
WithNew-2,1,1.6895,1.6367,26.1889,73.98
Existing-1,1,1.3801,1.5709,35.3044,312.36
WithNew-2,1,0.8989,1.861,11.7294,106.86
WithNew-1,1,1.5215,1.6813,35.3044,312.36
Existing-1,1,1.3673,1.7415,35.3044,312.36
WithNew-1,1,1.5906,1.7725,35.3044,312.36
WithNew-2,1,1.7056,1.683,35.3044,312.36
