Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,1.3439,1.8761,26.1889,73.98
WithNew-2,1,1.031,1.8394,6.8019,82.2
WithNew-1,1,1.3227,1.5097,26.1889,73.98
Existing-1,1,2.1608,1.7202,60.5415,123.3
WithNew-1,1,2.9445,1.791,60.5415,123.3
WithNew-2,1,3.2628,1.4215,62.6262,131.52
Existing-1,1,2.2204,1.8148,62.6262,131.52
WithNew-2,1,1.2041,1.9661,11.7294,106.86
WithNew-1,1,2.3686,1.4192,62.6262,131.52
Existing-1,1,2.4939,1.7315,62.6262,131.52
WithNew-1,1,3.0838,1.6983,62.6262,131.52
WithNew-2,1,3.0879,1.661,61.4555,106.86
Existing-1,1,0.7826,1.9427,16.2015,41.1
WithNew-2,1,1.0001,1.7052,16.2015,41.1
WithNew-1,1,1.1136,1.7104,16.2015,41.1
Existing-1,1,2.3781,1.5173,62.6262,131.52
WithNew-2,1,2.0481,1.7832,35.3044,312.36
WithNew-1,1,2.612,1.5712,62.6262,131.52
Existing-1,1,1.5527,1.8386,35.3044,312.36
WithNew-1,1,2.3951,1.6861,35.3044,312.36
WithNew-2,1,2.556,1.4506,60.5415,123.3
Existing-1,1,2.2728,1.7031,57.8413,106.86
WithNew-2,1,3.0608,1.7221,57.8413,106.86
WithNew-1,1,3.0682,1.6887,57.8413,106.86
Existing-1,1,0.5339,1.9479,6.8019,82.2
WithNew-1,1,0.6683,1.8627,6.8019,82.2
WithNew-2,1,0.726,1.823,6.8019,82.2
Existing-1,1,0.7531,1.9783,11.7294,106.86
WithNew-1,1,0.9377,1.7457,11.7294,106.86
WithNew-2,1,2.3199,1.6699,61.4555,106.86
