Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,1.3005,1.7866,26.1889,73.98
WithNew-1,1,1.8387,1.7689,26.1889,73.98
WithNew-2,1,2.685,1.3855,60.5415,123.3
Existing-1,1,0.8127,1.7691,16.2015,41.1
WithNew-2,1,0.8439,1.8321,6.8019,82.2
WithNew-1,1,1.0458,1.4256,16.2015,41.1
Existing-1,1,0.821,1.7708,16.2015,41.1
WithNew-1,1,0.9277,1.8368,16.2015,41.1
WithNew-2,1,1.0173,1.7573,11.7294,106.86
Existing-1,1,1.4432,1.7292,35.3044,312.36
WithNew-2,1,0.6886,1.8603,6.8019,82.2
WithNew-1,1,1.5589,1.5141,35.3044,312.36
Existing-1,1,2.3671,1.7202,62.6262,131.52
WithNew-1,1,3.178,1.6413,62.6262,131.52
WithNew-2,1,3.187,1.6086,62.6262,131.52
Existing-1,1,1.969,1.6996,60.5415,123.3
WithNew-2,1,2.0585,1.766,35.3044,312.36
WithNew-1,1,2.269,1.517,60.5415,123.3
Existing-1,1,0.7451,1.8928,11.7294,106.86
WithNew-1,1,1.1207,1.7782,11.7294,106.86
WithNew-2,1,2.1652,1.4958,57.8413,106.86
Existing-1,1,2.5041,1.5533,61.4555,106.86
WithNew-2,1,1.5303,1.8007,26.1889,73.98
WithNew-1,1,2.7785,1.6865,61.4555,106.86
Existing-1,1,1.1155,1.7615,26.1889,73.98
WithNew-2,1,1.1684,1.8736,11.7294,106.86
WithNew-1,1,1.2708,1.9147,26.1889,73.98
Existing-1,1,1.2949,1.8719,26.1889,73.98
WithNew-2,1,1.564,1.7338,26.1889,73.98
WithNew-1,1,1.5654,1.7338,26.1889,73.98
