Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,2.155,1.518,61.4555,106.86
WithNew-2,1,1.1003,1.727,16.2015,41.1
WithNew-1,1,2.4433,1.4947,61.4555,106.86
Existing-1,1,2.2954,1.666,61.4555,106.86
WithNew-1,1,3.1226,1.6782,61.4555,106.86
WithNew-2,1,3.135,1.6875,61.4555,106.86
Existing-1,1,2.2614,1.8095,62.6262,131.52
WithNew-2,1,1.1746,1.6877,16.2015,41.1
WithNew-1,1,2.4849,1.5614,62.6262,131.52
Existing-1,1,0.5361,2.0683,6.8019,82.2
WithNew-1,1,0.9507,1.9182,6.8019,82.2
WithNew-2,1,1.1276,1.7851,11.7294,106.86
Existing-1,1,2.3031,1.7031,61.4555,106.86
WithNew-2,1,1.2186,1.7809,16.2015,41.1
WithNew-1,1,2.5196,1.7364,61.4555,106.86
Existing-1,1,1.4448,1.784,35.3044,312.36
WithNew-2,1,0.7968,1.8893,11.7294,106.86
WithNew-1,1,1.5514,1.7728,35.3044,312.36
Existing-1,1,0.5364,1.9544,6.8019,82.2
WithNew-1,1,0.6772,1.815,6.8019,82.2
WithNew-2,1,2.3972,1.5531,62.6262,131.52
Existing-1,1,2.3066,1.5231,60.5415,123.3
WithNew-1,1,3.12,1.5996,60.5415,123.3
WithNew-2,1,3.1329,1.6133,57.8413,106.86
Existing-1,1,0.7344,1.8029,11.7294,106.86
WithNew-2,1,0.7006,1.896,6.8019,82.2
WithNew-1,1,0.8839,1.8046,11.7294,106.86
Existing-1,1,2.271,1.5403,57.8413,106.86
WithNew-1,1,2.8298,1.5886,57.8413,106.86
WithNew-2,1,3.0306,1.5574,62.6262,131.52
