Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,0.5375,1.9691,6.8019,82.2
WithNew-1,1,0.7443,1.8594,6.8019,82.2
WithNew-2,1,2.5868,1.6869,60.5415,123.3
Existing-1,1,0.7915,1.896,16.2015,41.1
WithNew-1,1,0.9758,1.9793,16.2015,41.1
WithNew-2,1,1.1798,1.8028,16.2015,41.1
Existing-1,1,2.1774,1.6662,57.8413,106.86
WithNew-2,1,2.1256,1.7319,35.3044,312.36
WithNew-1,1,2.2978,1.6827,57.8413,106.86
Existing-1,1,0.5406,1.9642,6.8019,82.2
WithNew-1,1,0.7707,1.768,6.8019,82.2
WithNew-2,1,0.8908,1.7177,16.2015,41.1
Existing-1,1,2.2321,1.6854,62.6262,131.52
WithNew-2,1,1.7748,1.702,26.1889,73.98
WithNew-1,1,2.6026,1.6013,62.6262,131.52
Existing-1,1,0.7447,1.8351,11.7294,106.86
WithNew-1,1,0.8056,1.9168,11.7294,106.86
WithNew-2,1,1.5659,1.6917,35.3044,312.36
Existing-1,1,0.7909,1.719,16.2015,41.1
WithNew-1,1,0.9265,1.6769,16.2015,41.1
WithNew-2,1,1.6984,1.762,35.3044,312.36
Existing-1,1,2.0985,1.7187,57.8413,106.86
WithNew-2,1,1.568,1.6909,26.1889,73.98
WithNew-1,1,2.3844,1.6672,57.8413,106.86
Existing-1,1,2.1885,1.8079,57.8413,106.86
WithNew-2,1,1.5902,1.6233,26.1889,73.98
WithNew-1,1,2.482,1.6859,57.8413,106.86
Existing-1,1,2.1684,1.6874,61.4555,106.86
WithNew-1,1,2.6566,1.7095,61.4555,106.86
WithNew-2,1,2.96,1.7974,57.8413,106.86
